Method,Feature Dim,Prep Time (s),Train Time (s),Total Time (s),Train Acc,Test Acc,ROC-AUC,Support Vectors
Flattened Pixels + PCA,194,456.2949240207672,16.307114839553833,472.60203886032104,0.8183974038941587,0.7703444832750874,0.8568787517176537,4722
HOG Features,1768,28.404392957687378,201.28118777275085,229.68558073043823,0.9333499750374439,0.7783325012481278,0.7932276222849015,6412
